Customer_ID,Age,Gender,Driving_Experience,Vehicle_Type,Vehicle_Age,Region_Code,Annual_Premium,Policy_Tenure,Previous_Claims,Accidents_Reported,Claim_Amount_Last_Year,Vehicle_Damage,High_Risk
CUST000039,69.0,Male,47.0,SUV,6,47,313.33,1,1,0,525.29,Yes,0
CUST000040,68.0,Male,29.0,Sedan,8,37,471.49,4,0,0,132.21,No,0
CUST000041,63.0,Female,13.0,Hatchback,13,16,318.47,5,3,0,1043.66,No,0
CUST000042,61.0,Female,50.0,Sedan,9,43,350.46,4,1,1,219.57,No,0
CUST000043,39.0,Female,35.0,Sedan,11,32,226.14,4,2,0,383.74,No,0
CUST000044,64.0,Female,5.0,Sedan,8,13,526.75,7,2,0,386.54,Yes,0
CUST000045,23.0,Female,31.0,Hatchback,5,6,490.66,2,1,1,142.83,Yes,0
CUST000046,68.0,Male,40.0,Sedan,9,23,297.31,2,0,0,70.42,No,0
CUST000047,19.0,Female,39.0,Hatchback,2,36,402.92,4,0,1,96.82,No,1
CUST000048,23.0,Male,31.0,Sedan,10,24,450.88,0,0,0,2264.47,Yes,0
CUST000049,40.0,Male,11.0,Truck,10,11,455.88,3,0,0,131.0,Yes,0
CUST000050,43.0,Male,42.0,Truck,11,30,445.2,4,0,1,99.68,No,0
CUST000051,28.0,Male,38.0,Truck,6,15,530.69,3,1,0,605.11,Yes,0
CUST000052,18.0,Male,24.0,SUV,14,17,100.0,10,2,1,406.88,No,0
CUST000053,45.0,Female,24.0,Truck,10,30,437.9,9,0,0,119.85,Yes,1
CUST000054,39.0,Female,7.0,Truck,7,22,419.44,2,1,0,649.85,No,0
CUST000055,58.0,Female,41.0,Hatchback,11,15,453.99,2,0,2,53.58,Yes,0
CUST000056,30.0,Female,34.0,Truck,8,3,460.57,8,1,0,83.02,Yes,0
CUST000057,58.0,Male,5.0,Sedan,13,21,383.5,7,1,0,253.39,Yes,0
CUST000058,64.0,Male,42.0,Hatchback,3,38,552.73,10,0,1,84.63,No,0
CUST000059,67.0,Male,3.0,Truck,12,47,363.04,4,0,0,131.9,Yes,0
CUST000060,53.0,Female,43.0,Truck,4,46,493.91,6,0,1,1871.16,No,0
CUST000061,39.0,Female,34.0,Hatchback,0,9,298.88,8,0,1,195.5,Yes,0
CUST000062,21.0,Male,25.0,SUV,4,46,430.05,1,1,1,305.67,Yes,0
CUST000063,61.0,Male,30.0,SUV,14,44,525.93,7,0,1,1216.88,No,0
CUST000064,58.0,Female,20.0,Hatchback,9,15,475.57,10,0,0,801.52,Yes,0
CUST000065,35.0,Male,23.0,SUV,6,22,436.41,0,1,0,635.43,No,0
CUST000066,55.0,Male,9.0,Truck,10,36,140.73,4,1,0,413.57,No,0
CUST000067,34.0,Female,6.0,SUV,11,33,458.93,0,0,0,83.4,No,0
CUST000068,42.0,Male,25.0,Hatchback,1,48,479.28,10,0,1,214.97,No,0
CUST000069,34.0,Male,27.0,SUV,10,21,397.74,5,0,0,1113.6,Yes,0
CUST000070,46.0,Male,1.0,Hatchback,4,22,427.22,3,1,0,1219.02,No,0
CUST000071,62.0,Male,43.0,Sedan,8,7,436.32,8,1,0,813.87,Yes,0
CUST000072,61.0,Male,13.0,Hatchback,11,27,477.03,3,1,0,100.61,No,0
CUST000073,63.0,Male,6.0,Sedan,2,5,443.2,9,1,0,358.24,No,0
CUST000074,25.0,Male,16.0,Sedan,1,24,521.96,4,0,1,83.91,Yes,0
CUST000075,46.0,Female,14.0,Sedan,4,2,406.38,3,1,1,399.69,Yes,0
CUST000076,32.0,Female,21.0,Truck,10,22,261.54,1,1,2,150.71,No,0
CUST000077,58.0,Female,31.0,SUV,8,6,500.67,9,1,1,46.78,Yes,0
CUST000078,50.0,Female,25.0,Truck,9,26,521.34,7,1,0,87.0,No,0
CUST000079,66.0,Female,22.0,Hatchback,3,49,502.15,1,1,0,1313.7,Yes,0
CUST000080,27.0,Female,25.0,Hatchback,0,3,597.25,5,0,0,374.5,Yes,0
CUST000081,54.0,Male,49.0,SUV,5,4,426.34,6,0,0,1274.61,Yes,0
CUST000082,28.0,Female,23.0,Truck,8,46,438.19,8,0,0,720.05,Yes,0
CUST000083,52.0,Male,21.0,Hatchback,3,48,333.96,9,0,0,749.69,Yes,0
CUST000084,51.0,Female,26.0,Truck,12,44,560.39,10,0,1,722.39,No,0
CUST000085,49.0,Male,20.0,Hatchback,8,13,162.73,5,1,0,257.09,No,0
CUST000086,39.0,Male,36.0,Hatchback,14,37,260.0,9,1,0,110.18,Yes,0
CUST000087,21.0,Female,42.0,Truck,10,19,392.89,6,1,0,90.67,Yes,0
CUST000088,70.0,Female,7.0,SUV,6,34,303.04,3,1,0,2027.14,No,0
CUST000089,19.0,Male,13.0,Hatchback,0,45,309.28,0,0,1,138.27,Yes,0
CUST000090,50.0,Male,1.0,SUV,5,38,294.32,7,1,1,229.95,No,0
CUST000091,26.0,Female,6.0,Truck,1,49,575.54,9,0,1,312.83,No,0
CUST000092,52.0,Female,26.0,Sedan,7,44,498.04,8,1,2,146.81,No,0
CUST000093,,Male,,Truck,6,8,,9,0,1,,,1
CUST000094,48.0,Female,3.0,Truck,6,10,235.58,7,1,0,222.62,Yes,0
CUST000095,31.0,Female,9.0,SUV,12,21,384.2,1,0,0,253.04,No,0
CUST000096,48.0,Male,45.0,Hatchback,3,19,260.58,3,0,0,503.6,No,0
CUST000097,,Male,,SUV,0,50,,1,0,0,,,1
CUST000098,61.0,Female,9.0,Sedan,13,11,477.44,10,1,0,714.76,Yes,0
CUST000099,70.0,Female,15.0,Hatchback,6,9,330.65,10,0,0,124.43,No,0
CUST000100,33.0,Female,2.0,Hatchback,4,46,464.44,9,0,0,1145.65,No,1
CUST000101,37.0,Female,22.0,Sedan,15,44,570.6,4,0,0,815.33,No,0
CUST000102,68.0,Female,1.0,SUV,4,20,335.61,5,3,0,1102.93,No,0
CUST000103,67.0,Female,0.0,Sedan,8,47,369.85,7,0,0,246.98,Yes,0
CUST000104,31.0,Male,10.0,Hatchback,2,45,327.76,5,0,0,172.49,No,0
CUST000105,52.0,Female,47.0,Sedan,4,38,431.0,2,2,1,912.74,Yes,0
CUST000106,63.0,Male,43.0,Hatchback,9,10,645.01,6,0,1,247.19,No,0
CUST000107,66.0,Female,36.0,Hatchback,10,1,418.9,9,0,0,1132.99,Yes,0
CUST000108,62.0,Male,19.0,Sedan,1,29,362.64,7,0,1,407.54,No,0
CUST000109,50.0,Male,20.0,Sedan,10,31,461.42,5,0,1,136.76,Yes,0
CUST000110,46.0,Female,29.0,Truck,4,43,382.28,6,0,0,1432.12,No,0
CUST000111,25.0,Female,24.0,Sedan,4,26,435.67,3,1,1,75.21,Yes,0
CUST000112,70.0,Female,46.0,SUV,1,20,455.96,3,1,0,110.25,No,0
CUST000113,51.0,Male,16.0,Hatchback,8,50,467.58,8,0,0,43.7,No,0
CUST000114,68.0,Female,39.0,Truck,2,6,288.25,8,1,0,147.0,Yes,0
CUST000115,64.0,Male,50.0,Truck,11,48,432.28,7,1,1,1739.2,No,0
CUST000116,31.0,Male,22.0,Truck,12,31,290.38,1,0,0,1230.25,No,0
CUST000117,31.0,Male,18.0,Hatchback,0,12,294.75,0,1,0,852.95,Yes,0
CUST000118,67.0,Male,43.0,Hatchback,10,17,522.75,8,2,0,196.71,Yes,0
CUST000119,32.0,Female,20.0,Sedan,3,48,554.41,2,0,0,14.48,No,0
CUST000120,59.0,Male,6.0,Hatchback,3,24,470.83,6,0,0,214.05,No,0
CUST000121,67.0,Male,5.0,Sedan,4,6,450.94,8,0,0,282.85,Yes,0
CUST000122,37.0,Female,1.0,Sedan,2,19,406.91,10,1,0,212.44,No,1
CUST000123,45.0,Male,2.0,SUV,7,49,467.78,0,0,0,1016.8,No,0
CUST000124,21.0,Female,40.0,Hatchback,6,41,394.26,5,1,0,1329.65,No,0
CUST000125,24.0,Male,10.0,SUV,0,46,256.01,6,2,0,870.65,No,0
CUST000126,19.0,Male,21.0,Truck,0,34,435.37,5,0,0,165.23,No,0
CUST000127,26.0,Male,49.0,Sedan,7,3,217.69,7,0,0,211.03,No,0
CUST000128,40.0,Female,47.0,Hatchback,4,38,198.68,4,0,1,1312.71,Yes,1
CUST000129,53.0,Female,41.0,Hatchback,1,17,406.39,10,1,0,340.63,Yes,0
CUST000130,29.0,Female,47.0,Hatchback,11,19,501.76,6,1,0,1057.13,No,0
CUST000131,40.0,Female,8.0,Hatchback,7,4,447.14,10,0,0,32.14,No,0
CUST000132,48.0,Female,19.0,Sedan,7,13,446.11,6,1,0,1421.43,Yes,0
CUST000133,59.0,Male,1.0,Hatchback,6,9,305.77,6,0,0,387.88,Yes,0
CUST000134,28.0,Male,49.0,Hatchback,6,30,401.76,2,1,0,1042.55,Yes,0
CUST000135,18.0,Female,15.0,Hatchback,15,4,438.5,7,0,0,34.93,Yes,0
CUST000136,30.0,Male,25.0,SUV,9,24,415.93,7,0,0,269.82,No,0
CUST000137,56.0,Female,22.0,Hatchback,1,15,392.43,8,1,1,133.06,Yes,0
CUST000138,46.0,Male,13.0,SUV,9,9,316.32,1,1,0,52.35,Yes,0
CUST000139,23.0,Male,20.0,SUV,3,20,487.47,7,0,0,11.9,Yes,0
CUST000140,48.0,Female,22.0,Truck,8,50,460.87,5,1,0,179.39,No,0
CUST000141,26.0,Male,11.0,Truck,10,31,385.12,4,0,0,236.82,Yes,0
CUST000142,35.0,Female,3.0,Hatchback,10,32,398.71,3,0,0,327.17,Yes,0
CUST000143,20.0,Male,16.0,Truck,8,7,579.39,4,1,0,51.03,No,0
CUST000144,49.0,Female,30.0,Truck,1,36,426.9,0,0,0,135.05,No,0
CUST000145,62.0,Male,27.0,Sedan,9,5,317.6,1,0,0,149.38,No,1
CUST000146,20.0,Female,38.0,Sedan,1,2,517.6,4,0,0,587.54,No,0
CUST000147,62.0,Male,35.0,Hatchback,13,9,393.12,3,2,0,381.95,No,0
CUST000148,47.0,Male,46.0,Sedan,1,26,245.92,8,0,0,583.09,No,0
CUST000149,23.0,Male,13.0,Truck,15,17,509.23,9,1,0,103.88,Yes,0
CUST000150,67.0,Female,30.0,Hatchback,4,32,399.03,6,0,0,473.16,No,0
CUST000151,44.0,Female,32.0,Hatchback,13,30,379.93,1,0,0,315.09,Yes,0
CUST000152,19.0,Male,8.0,Hatchback,12,5,421.56,5,0,0,110.6,No,0
CUST000153,37.0,Male,21.0,Sedan,7,43,390.42,1,0,0,489.51,No,0
CUST000154,34.0,Male,35.0,Truck,2,20,325.37,2,0,0,518.05,Yes,0
CUST000155,50.0,Male,29.0,Sedan,8,50,467.99,10,1,1,599.37,No,0
CUST000156,34.0,Female,8.0,Hatchback,0,48,412.94,2,2,0,712.2,Yes,0
CUST000157,54.0,Female,8.0,Hatchback,4,6,414.71,10,0,0,14.5,No,0
CUST000158,46.0,Male,11.0,Sedan,7,8,417.99,10,0,0,625.15,No,0
CUST000159,26.0,Male,27.0,Truck,13,32,409.8,7,1,1,1117.91,No,0
CUST000160,21.0,Male,15.0,Hatchback,1,12,421.63,7,0,0,144.64,No,0
CUST000161,63.0,Female,36.0,SUV,5,26,501.59,1,1,2,759.73,No,0
CUST000162,57.0,Female,48.0,SUV,2,20,475.68,8,0,0,113.16,Yes,0
CUST000163,30.0,Female,5.0,Truck,8,40,531.06,6,0,0,139.54,Yes,0
CUST000164,23.0,Male,8.0,Truck,6,40,420.84,9,0,0,193.66,No,0
CUST000165,63.0,Male,42.0,Sedan,10,13,429.61,2,0,0,1064.9,No,0
CUST000166,26.0,Male,33.0,SUV,8,24,341.19,5,0,0,498.51,No,0
CUST000167,43.0,Female,30.0,Sedan,5,34,266.37,2,0,0,156.3,No,0
CUST000168,66.0,Female,6.0,SUV,12,8,370.99,4,1,0,51.49,No,0
CUST000169,56.0,Female,31.0,Sedan,8,16,503.88,9,0,0,623.71,Yes,0
CUST000170,58.0,Female,48.0,SUV,1,21,371.81,1,2,1,625.46,Yes,0
CUST000171,64.0,Female,42.0,Sedan,14,22,465.0,2,0,0,382.89,No,0
CUST000172,59.0,Female,23.0,Truck,13,31,275.65,4,0,0,1282.36,Yes,0
CUST000173,31.0,Female,29.0,SUV,9,21,325.18,3,0,0,904.99,No,0
CUST000174,,Female,,Hatchback,1,11,,1,0,0,,,1
CUST000175,51.0,Male,25.0,Sedan,3,21,489.24,6,1,0,937.62,No,0
CUST000176,21.0,Male,32.0,Hatchback,4,44,290.0,7,0,0,343.54,Yes,0
CUST000177,38.0,Female,25.0,Sedan,9,24,411.82,3,1,0,170.4,Yes,0
CUST000178,48.0,Female,18.0,Truck,14,17,314.72,2,1,1,159.55,No,0
CUST000179,64.0,Female,0.0,Sedan,8,5,426.09,8,1,0,360.72,No,0
CUST000180,60.0,Female,19.0,Sedan,1,11,495.15,1,0,0,266.22,No,0
CUST000181,38.0,Male,37.0,Hatchback,7,8,530.58,2,1,2,3264.96,No,0
CUST000182,60.0,Male,47.0,Sedan,4,6,339.84,10,1,0,160.92,No,0
CUST000183,46.0,Male,11.0,Truck,15,9,267.23,2,1,0,165.16,Yes,0
CUST000184,41.0,Female,42.0,Sedan,8,29,328.05,9,0,0,655.8,No,0
CUST000185,62.0,Female,21.0,Truck,4,39,359.17,5,0,0,225.38,Yes,0
CUST000186,33.0,Female,49.0,Truck,12,6,618.83,6,0,0,382.26,Yes,0
CUST000187,26.0,Male,6.0,Sedan,11,6,298.19,5,0,0,231.01,Yes,0
CUST000188,38.0,Male,21.0,Truck,1,20,443.34,9,0,1,625.36,Yes,0
CUST000189,19.0,Male,26.0,SUV,7,27,486.86,7,0,1,404.31,Yes,0
CUST000190,19.0,Female,13.0,Hatchback,0,15,384.01,4,0,0,317.67,Yes,0
CUST000191,54.0,Female,12.0,Sedan,2,24,360.88,0,0,0,523.17,No,0
CUST000192,54.0,Male,19.0,Hatchback,3,8,525.27,9,0,0,1167.06,Yes,0
CUST000193,22.0,Male,7.0,Truck,13,34,371.76,0,0,0,323.95,No,0
CUST000194,63.0,Male,45.0,Hatchback,9,25,335.47,9,1,2,56.55,Yes,0
CUST000195,23.0,Female,17.0,SUV,6,3,342.11,3,1,0,315.97,No,0
CUST000196,65.0,Female,3.0,Hatchback,11,12,468.56,2,0,0,305.05,Yes,0
CUST000197,,Male,,SUV,2,29,,0,0,0,,,1
CUST000198,25.0,Male,22.0,Hatchback,13,50,460.93,2,0,1,752.6,No,0
CUST000199,49.0,Female,3.0,SUV,0,9,376.71,0,2,1,317.81,No,0
CUST000200,54.0,Male,40.0,SUV,3,19,512.1,4,2,0,428.02,Yes,1
CUST000201,30.0,Female,1.0,Hatchback,7,42,542.92,1,0,0,42.33,Yes,0
CUST000202,20.0,Female,45.0,Hatchback,12,25,415.89,4,2,0,876.16,Yes,0
CUST000203,26.0,Male,43.0,Sedan,14,34,357.24,4,1,1,500.94,Yes,0
CUST000204,21.0,Female,21.0,SUV,1,29,287.9,7,0,0,136.84,No,0
CUST000205,45.0,Male,50.0,Hatchback,14,23,448.48,0,0,0,401.54,No,0
CUST000206,57.0,Female,49.0,Sedan,6,38,393.93,6,1,0,97.25,No,0
CUST000207,33.0,Female,43.0,Hatchback,1,19,432.43,2,1,0,443.44,Yes,0
CUST000208,28.0,Female,0.0,Truck,0,48,345.09,3,0,2,1996.15,No,0
CUST000209,36.0,Female,9.0,SUV,14,15,318.07,10,0,0,808.17,No,0
CUST000210,59.0,Female,33.0,Sedan,13,50,469.55,7,0,0,36.21,Yes,0
CUST000211,39.0,Female,30.0,Hatchback,8,10,413.6,6,1,1,305.98,No,1
CUST000212,56.0,Female,13.0,Sedan,9,13,459.96,4,0,0,956.69,No,0
CUST000213,29.0,Female,47.0,Hatchback,2,38,598.24,6,0,0,220.13,Yes,0
CUST000214,47.0,Female,18.0,Hatchback,11,5,470.42,9,0,0,60.27,No,0
CUST000215,57.0,Female,45.0,SUV,5,45,648.57,0,0,0,1004.47,Yes,0
CUST000216,59.0,Male,28.0,Truck,1,16,460.86,5,1,1,25.57,Yes,0
CUST000217,,Female,,Truck,8,28,,2,0,1,,,1
CUST000218,,Female,,Sedan,1,30,,7,0,0,,,1
CUST000219,62.0,Male,29.0,Hatchback,4,9,274.85,3,1,0,43.87,Yes,0
CUST000220,49.0,Male,10.0,Hatchback,15,11,489.72,2,0,1,493.96,Yes,0
CUST000221,51.0,Male,29.0,Sedan,4,25,388.15,10,1,0,271.76,No,0
CUST000222,29.0,Male,21.0,Sedan,9,37,344.52,6,0,0,840.09,Yes,0
CUST000223,60.0,Male,1.0,Sedan,5,18,281.57,0,0,0,667.27,Yes,0
CUST000224,19.0,Male,38.0,Sedan,13,12,466.33,5,0,0,185.7,Yes,0
CUST000225,64.0,Female,24.0,SUV,11,2,453.23,7,1,0,175.91,No,0
CUST000226,69.0,Female,44.0,SUV,4,1,394.92,2,0,0,5.89,No,0
CUST000227,24.0,Male,7.0,Truck,7,17,479.59,9,1,0,738.71,No,0
CUST000228,49.0,Male,31.0,Truck,14,24,524.44,1,1,1,1251.84,Yes,0
CUST000229,57.0,Male,43.0,SUV,10,37,477.69,3,1,0,194.98,No,0
CUST000230,52.0,Male,6.0,Sedan,10,36,510.54,1,0,0,223.29,No,0
CUST000231,66.0,Male,21.0,Truck,8,29,376.68,0,0,0,186.85,Yes,0
CUST000232,69.0,Female,28.0,SUV,8,44,436.37,5,0,0,582.12,No,0
CUST000233,23.0,Female,1.0,Hatchback,6,20,514.74,5,1,0,555.62,Yes,0
CUST000234,39.0,Male,37.0,SUV,1,46,415.03,9,1,1,545.8,Yes,0
CUST000235,42.0,Male,42.0,Hatchback,12,46,344.46,0,1,0,28.41,No,0
CUST000236,64.0,Male,48.0,Truck,2,8,340.49,2,0,0,286.83,No,0
CUST000237,30.0,Male,14.0,Hatchback,4,8,318.14,10,0,0,158.52,No,0
CUST000238,40.0,Female,19.0,SUV,1,48,401.27,7,0,0,53.34,Yes,0
CUST000239,62.0,Male,25.0,Hatchback,13,22,580.76,4,0,1,57.85,No,0
CUST000240,61.0,Female,10.0,Hatchback,12,25,365.63,9,0,0,303.5,No,0
CUST000241,63.0,Female,22.0,SUV,7,9,356.59,1,0,0,165.61,Yes,0
CUST000242,26.0,Female,40.0,Truck,3,17,557.04,6,0,0,579.31,No,0
CUST000243,59.0,Female,48.0,Truck,6,17,209.46,10,1,0,641.91,No,0
CUST000244,54.0,Female,41.0,Truck,15,23,177.77,1,0,0,155.3,Yes,1
CUST000245,70.0,Female,3.0,Hatchback,4,24,428.13,1,0,0,102.21,Yes,0
CUST000246,54.0,Female,3.0,SUV,15,42,431.84,2,1,1,174.54,No,0
CUST000247,70.0,Female,47.0,Truck,8,3,497.48,1,0,0,622.13,No,0
CUST000248,47.0,Female,0.0,Sedan,13,15,531.26,2,0,0,223.5,Yes,0
CUST000249,37.0,Female,22.0,Sedan,9,45,421.22,9,0,0,189.18,Yes,0
CUST000250,55.0,Male,23.0,Hatchback,2,2,221.0,9,2,0,229.56,Yes,0
CUST000251,,Male,,Hatchback,3,37,,2,2,0,,,1
CUST000252,66.0,Female,6.0,Hatchback,5,10,217.05,2,0,0,550.17,No,0
CUST000253,33.0,Male,33.0,SUV,10,31,410.52,2,0,0,1488.31,Yes,0
CUST000254,67.0,Male,3.0,Truck,6,13,483.86,4,1,0,382.25,No,0
CUST000255,39.0,Male,1.0,Sedan,7,13,399.98,2,2,0,584.54,Yes,0
CUST000256,55.0,Male,22.0,Sedan,7,27,413.58,1,0,0,269.0,Yes,0
CUST000257,27.0,Female,47.0,Sedan,0,4,428.26,4,1,0,1468.5,Yes,0
CUST000258,37.0,Female,35.0,Sedan,5,20,278.36,0,0,0,127.69,Yes,0
CUST000259,70.0,Female,21.0,Hatchback,11,18,387.56,2,0,0,1389.52,No,0
CUST000260,58.0,Male,9.0,Sedan,0,48,577.28,8,0,0,240.56,Yes,0
CUST000261,19.0,Male,41.0,Sedan,0,1,412.26,4,0,0,126.69,Yes,0
CUST000262,20.0,Male,34.0,Hatchback,12,43,356.63,9,0,0,533.42,Yes,1
CUST000263,59.0,Female,40.0,Hatchback,11,33,540.12,1,2,0,176.65,Yes,0
CUST000264,25.0,Female,26.0,SUV,13,47,573.88,5,0,0,79.41,No,0
CUST000265,26.0,Male,23.0,Truck,3,43,262.16,5,1,0,345.51,Yes,0
CUST000266,45.0,Female,6.0,Truck,10,18,309.77,1,0,1,552.91,No,0
CUST000267,38.0,Female,50.0,Hatchback,14,26,306.92,2,2,0,191.42,No,0
CUST000268,68.0,Male,20.0,Sedan,8,16,502.74,0,0,1,640.04,Yes,0
CUST000269,50.0,Male,7.0,Sedan,9,43,394.51,7,0,1,855.86,Yes,0
CUST000270,51.0,Female,49.0,Sedan,15,34,442.4,7,2,1,104.12,No,0
CUST000271,69.0,Male,35.0,SUV,11,44,406.7,3,0,0,1631.6,Yes,0
CUST000272,21.0,Female,4.0,SUV,1,13,527.94,3,0,1,230.22,Yes,0
CUST000273,65.0,Female,15.0,SUV,3,1,337.47,3,0,0,194.83,Yes,0
CUST000274,,Female,,Truck,5,44,,2,0,0,,,1
CUST000275,42.0,Male,37.0,Hatchback,10,38,373.99,1,1,1,1292.06,No,1
CUST000276,49.0,Male,22.0,Truck,7,8,356.8,0,1,0,194.01,Yes,0
CUST000277,29.0,Male,43.0,Sedan,1,37,384.46,5,1,1,501.99,Yes,0
CUST000278,19.0,Female,36.0,Truck,11,28,322.59,5,0,0,2691.46,Yes,0
CUST000279,,Male,,SUV,0,48,,6,0,0,,,1
CUST000280,,Male,,Sedan,2,19,,1,0,1,,,1
CUST000281,65.0,Male,44.0,Truck,14,25,223.88,5,1,0,222.48,Yes,0
CUST000282,70.0,Female,21.0,SUV,0,21,460.46,5,0,0,124.3,No,0
CUST000283,29.0,Female,12.0,Truck,9,38,361.61,7,2,1,1736.18,Yes,0
CUST000284,67.0,Male,35.0,Truck,10,19,478.21,4,0,1,649.6,No,0
CUST000285,63.0,Male,10.0,Hatchback,0,40,226.39,2,2,0,257.69,No,0
CUST000286,43.0,Female,5.0,Hatchback,4,15,476.43,3,1,0,40.44,Yes,0
CUST000287,38.0,Male,8.0,Sedan,9,23,416.54,3,0,0,114.49,No,0
CUST000288,61.0,Female,19.0,Sedan,14,31,448.49,4,0,1,2553.77,Yes,0
CUST000289,54.0,Female,38.0,SUV,8,35,296.52,3,2,0,60.22,No,1
CUST000290,53.0,Male,23.0,Sedan,6,35,341.43,8,0,0,126.98,No,0
CUST000291,35.0,Male,11.0,Truck,4,8,543.33,5,0,0,431.48,No,0
CUST000292,41.0,Male,41.0,Sedan,3,12,389.78,0,1,0,255.25,Yes,0
CUST000293,47.0,Female,34.0,Truck,14,30,351.84,4,0,0,143.88,No,0
CUST000294,34.0,Female,38.0,Sedan,4,42,504.46,8,2,0,703.94,Yes,0
CUST000295,33.0,Male,24.0,Sedan,4,18,282.32,3,0,1,164.24,Yes,0
CUST000296,59.0,Female,26.0,Sedan,4,45,408.69,10,0,0,626.22,Yes,0
CUST000297,34.0,Male,41.0,Sedan,1,31,299.78,7,0,0,1223.33,No,0
CUST000298,61.0,Female,0.0,Hatchback,6,31,651.12,8,0,0,416.86,No,0
CUST000299,29.0,Male,11.0,SUV,7,46,392.45,7,0,0,59.3,Yes,0
CUST000300,44.0,Male,0.0,Hatchback,10,47,489.19,0,1,0,1111.5,Yes,0
CUST000301,21.0,Female,12.0,Sedan,14,11,262.31,10,1,1,568.3,No,0
CUST000302,52.0,Male,38.0,Truck,4,25,541.22,8,0,0,362.5,Yes,0
CUST000303,18.0,Male,49.0,Sedan,1,18,333.7,3,1,0,417.19,No,0
CUST000304,29.0,Male,39.0,Sedan,7,16,361.12,3,0,1,501.84,Yes,0
CUST000305,46.0,Male,5.0,Sedan,15,44,736.09,4,0,0,174.42,No,0
CUST000306,25.0,Female,28.0,SUV,6,50,442.25,6,1,0,489.75,Yes,0
CUST000307,25.0,Male,46.0,SUV,3,7,516.08,0,1,2,11.1,Yes,0
CUST000308,29.0,Female,49.0,Sedan,7,15,191.32,2,1,0,557.79,Yes,0
CUST000309,53.0,Male,3.0,Truck,14,17,302.14,8,0,0,498.43,No,0
CUST000310,65.0,Male,22.0,SUV,6,12,422.61,2,0,0,218.08,Yes,0
